column,description
poverty_gap_index_lower_mid_income_povline,"The poverty gap index calculated at the lower-middle income poverty line: $3.20 a day (in 2011 prices) or $3.65 a day (in 2017 prices) a day.

The poverty gap index is a measure that reflects both the depth and prevalence of poverty. It is defined as the mean shortfall of the total population from the poverty line counting the non-poor as having zero shortfall and expressed as a percentage of the poverty line. 

It is worth unpacking that definition a little. For those below the poverty line, the shortfall corresponds to the amount of money required in order to reach the poverty line. For those at or above the poverty line, the shortfall is counted as zero. The average shortfall is then calculated across the total population – both poor and non-poor – and then expressed as a share of the poverty line.

Unlike the more commonly-used metric of the headcount ratio, the poverty gap index is thus sensitive not only to whether a person’s income falls below the poverty line or not, but also by how much – i.e. to the depth of poverty they experience."
poverty_gap_index_upper_mid_income_povline,"The poverty gap index calculated atthe upper-middle income poverty line: $5.50 a day (in 2011 prices) or $6.85 a day (in 2017 prices).

The poverty gap index is a measure that reflects both the depth and prevalence of poverty. It is defined as the mean shortfall of the total population from the poverty line counting the non-poor as having zero shortfall and expressed as a percentage of the poverty line. 

It is worth unpacking that definition a little. For those below the poverty line, the shortfall corresponds to the amount of money required in order to reach the poverty line. For those at or above the poverty line, the shortfall is counted as zero. The average shortfall is then calculated across the total population – both poor and non-poor – and then expressed as a share of the poverty line.

Unlike the more commonly-used metric of the headcount ratio, the poverty gap index is thus sensitive not only to whether a person’s income falls below the poverty line or not, but also by how much – i.e. to the depth of poverty they experience."
poverty_gap_index_100,"The poverty gap index calculated at a poverty line of $1 a day.

The poverty gap index is a measure that reflects both the depth and prevalence of poverty. It is defined as the mean shortfall of the total population from the poverty line counting the non-poor as having zero shortfall and expressed as a percentage of the poverty line. 

It is worth unpacking that definition a little. For those below the poverty line, the shortfall corresponds to the amount of money required in order to reach the poverty line. For those at or above the poverty line, the shortfall is counted as zero. The average shortfall is then calculated across the total population – both poor and non-poor – and then expressed as a share of the poverty line.

Unlike the more commonly-used metric of the headcount ratio, the poverty gap index is thus sensitive not only to whether a person’s income falls below the poverty line or not, but also by how much – i.e. to the depth of poverty they experience."
poverty_gap_index_1000,"The poverty gap index calculated at a poverty line of $10 a day.

The poverty gap index is a measure that reflects both the depth and prevalence of poverty. It is defined as the mean shortfall of the total population from the poverty line counting the non-poor as having zero shortfall and expressed as a percentage of the poverty line. 

It is worth unpacking that definition a little. For those below the poverty line, the shortfall corresponds to the amount of money required in order to reach the poverty line. For those at or above the poverty line, the shortfall is counted as zero. The average shortfall is then calculated across the total population – both poor and non-poor – and then expressed as a share of the poverty line.

Unlike the more commonly-used metric of the headcount ratio, the poverty gap index is thus sensitive not only to whether a person’s income falls below the poverty line or not, but also by how much – i.e. to the depth of poverty they experience."
poverty_gap_index_2000,"The poverty gap index calculated at a poverty line of $20 a day.

The poverty gap index is a measure that reflects both the depth and prevalence of poverty. It is defined as the mean shortfall of the total population from the poverty line counting the non-poor as having zero shortfall and expressed as a percentage of the poverty line. 

It is worth unpacking that definition a little. For those below the poverty line, the shortfall corresponds to the amount of money required in order to reach the poverty line. For those at or above the poverty line, the shortfall is counted as zero. The average shortfall is then calculated across the total population – both poor and non-poor – and then expressed as a share of the poverty line.

Unlike the more commonly-used metric of the headcount ratio, the poverty gap index is thus sensitive not only to whether a person’s income falls below the poverty line or not, but also by how much – i.e. to the depth of poverty they experience."
poverty_gap_index_3000,"The poverty gap index calculated at a poverty line of $30 a day.

The poverty gap index is a measure that reflects both the depth and prevalence of poverty. It is defined as the mean shortfall of the total population from the poverty line counting the non-poor as having zero shortfall and expressed as a percentage of the poverty line. 

It is worth unpacking that definition a little. For those below the poverty line, the shortfall corresponds to the amount of money required in order to reach the poverty line. For those at or above the poverty line, the shortfall is counted as zero. The average shortfall is then calculated across the total population – both poor and non-poor – and then expressed as a share of the poverty line.

Unlike the more commonly-used metric of the headcount ratio, the poverty gap index is thus sensitive not only to whether a person’s income falls below the poverty line or not, but also by how much – i.e. to the depth of poverty they experience."
poverty_gap_index_4000,"The poverty gap index calculated at a poverty line of $40 a day.

The poverty gap index is a measure that reflects both the depth and prevalence of poverty. It is defined as the mean shortfall of the total population from the poverty line counting the non-poor as having zero shortfall and expressed as a percentage of the poverty line. 

It is worth unpacking that definition a little. For those below the poverty line, the shortfall corresponds to the amount of money required in order to reach the poverty line. For those at or above the poverty line, the shortfall is counted as zero. The average shortfall is then calculated across the total population – both poor and non-poor – and then expressed as a share of the poverty line.

Unlike the more commonly-used metric of the headcount ratio, the poverty gap index is thus sensitive not only to whether a person’s income falls below the poverty line or not, but also by how much – i.e. to the depth of poverty they experience."
mean,The mean level of income or expenditure per day.
median,The level of income or expenditure per day below which half of the population live.
decile1_avg,The mean income or expenditure per day within the poorest decile (tenth of the population).
decile2_avg,The mean income or expenditure per day within the 2nd decile (tenth of the population).
decile3_avg,The mean income or expenditure per day within the 3rd decile (tenth of the population).
decile4_avg,The mean income or expenditure per day within the 4th decile (tenth of the population).
decile5_avg,The mean income or expenditure per day within the 5th decile (tenth of the population).
decile6_avg,The mean income or expenditure per day within the 6th decile (tenth of the population).
decile7_avg,The mean income or expenditure per day within the 7th decile (tenth of the population).
decile8_avg,The mean income or expenditure per day within the 8th decile (tenth of the population).
decile9_avg,The mean income or expenditure per day within the 9th decile (tenth of the population).
decile10_avg,The mean income or expenditure per day within the richest decile (tenth of the population).
decile1_share,The income or expenditure of the poorest decile (tenth of the population) as a share of total income or expenditure.
decile2_share,The income or expenditure of the 2nd decile (tenth of the population) as a share of total income or expenditure.
decile3_share,The income or expenditure of the 3rd decile (tenth of the population) as a share of total income or expenditure.
decile4_share,The income or expenditure of the 4th decile (tenth of the population) as a share of total income or expenditure.
decile5_share,The income or expenditure of the 5th decile (tenth of the population) as a share of total income or expenditure.
decile6_share,The income or expenditure of the 6th decile (tenth of the population) as a share of total income or expenditure.
decile7_share,The income or expenditure of the 7th decile (tenth of the population) as a share of total income or expenditure.
decile8_share,The income or expenditure of the 8th decile (tenth of the population) as a share of total income or expenditure.
decile9_share,The income or expenditure of the 9th decile (tenth of the population) as a share of total income or expenditure.
decile10_share,The income or expenditure of the richest decile (tenth of the population) as a share of total income or expenditure.
decile1_thr,The level of income or expenditure per day below which 10% of the population falls.
decile2_thr,The level of income or expenditure per day below which 20% of the population falls.
decile3_thr,The level of income or expenditure per day below which 30% of the population falls.
decile4_thr,The level of income or expenditure per day below which 40% of the population falls.
decile6_thr,The level of income or expenditure per day below which 60% of the population falls.
decile7_thr,The level of income or expenditure per day below which 70% of the population falls.
decile8_thr,The level of income or expenditure per day below which 80% of the population falls.
decile9_thr,The level of income or expenditure per day below which 90% of the population falls.
gini,"The Gini coefficient measures inequality on a scale between 0 and 1, where higher values indicate greater inequality."
mld,"The mean log deviation (MLD) is a measure of inequality. An MLD of zero indicates perfect inequality and it takes on larger positive values as incomes become more unequal. The measure is also referred to as 'Theil L' or 'GE(0)', in reference to the wider families of inequality measures to which the MLD belongs."
polarization,"The polarization index, also known as the Wolfson polarization index, measures the extent to which the distribution of income or expenditure is “spread out” and bi-modal. Like the Gini coefficient, the polarization index ranges from 0 (no polarization) to 1 (complete polarization). The polarization index is based on Wolfson (1994) and Ravallion and Chen (1997).

See Wolfson, Michael C. 1994. “When Inequalities Diverge.” The American Economic Review 84 (2): 353–58. https://www.jstor.org/stable/2117858 and Ravallion, Martin, and Shaohua Chen. 1997. “What Can New Survey Data Tell Us about Recent Changes in Distribution and Poverty?” The World Bank Economic Review 11 (2): 357–82. https://www.jstor.org/stable/3990232."
palma_ratio,The Palma ratio is a measure of inequality: it is the share of total income (or expenditure) of the top 10% divided by the share of the bottom 40%.
s80_s20_ratio,The share of total income (or expenditure) of the top 20% divided by the share of the bottom 20%.
p90_p10_ratio,P90 is the the level of income or expenditure below which 90% of the population lives. P10 is the level of income or expenditure below which 10% of the population lives. This variable gives the ratio of the two. It is a measure of inequality that indicates the gap between the richest and poorest tenth of the population. It tells you how many times richer someone just in the the poorest tenth would need to be in order to be counted in the richest tenth.
p90_p50_ratio,P90 is the the level of income or expenditure above which 10% of the population lives. P50 is the median – the level of income or expenditure below which 50% of the population lives. This variable gives the ratio of the two. It is a measure of inequality within the top half of the distribution. It tells you how many times richer someone in the middle of the distribution would need to be in order to be counted in the richest tenth.
p50_p10_ratio,P50 is the median – the level of income or expenditure below which 50% of the population lives. P10 is the the level of income or expenditure below which 10% of the population lives. This variable gives the ratio of the two. It is a measure of inequality within the bottom half of the distribution. It tells you how many times richer someone just in the the poorest tenth would need to be in order to be reach the median.
